Empresa;Estado;Produto;Tipo do Produto;Certificação;Tipo Símbolo
CAFE CAMPEAO IND. E COM. LTDA;BA;DAGENTE;TM;Pureza, Qualidade;Tradicional
CAFE CAMPEAO IND. E COM. LTDA;BA;DAGENTE EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE CANECAO LTDA.;SP;CANECAO ESPRESSO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE CANECAO LTDA.;SP;CANECAO ESPRESSO GOURMET;CAP;Pureza, Qualidade;Intensidade 6
CAFE CANECAO LTDA.;SP;CANECAO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE CANECAO LTDA.;SP;CANECAO PREMIUM;TM;Pureza, Qualidade;Superior
CAFE CANECAO LTDA.;SP;CANECAO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CANECAO LTDA.;SP;CANECAO TRADICIONAL;GR;Pureza, Qualidade;Tradicional
CAFE CANECAO LTDA.;SP;CANECAO TRADICIONAL EM CAPSULAS;CAP;Pureza, Qualidade;Intensidade 7
CAFE CANECAO LTDA.;SP;CANECAO TRADICIONAL PARA MOINHO - TORRADO E MOIDO NA HORA;TM;Pureza, Qualidade;Tradicional
CAFE CANECAO LTDA.;SP;ORCHESTRA ESPRESSO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE CASA VERDE IND. E COM. LTDA;PR;CASA VERDE;TM;Pureza, Qualidade;Tradicional
CAFE CATUMBI LTDA.;SP;CATUMBI;TM;Pureza, Qualidade;Tradicional
CAFE CHAPADAO LTDA;MG;ALIMENTOS BRASILIA;TM;Pureza, Qualidade;Tradicional
CAFE CHAPADAO LTDA;MG;BSB;TM;Pureza, Qualidade;Tradicional
CAFE CHAPADAO LTDA;MG;CHAPADAO;TM;Pureza, Qualidade;Tradicional
CAFE CHAPADAO LTDA;MG;SUPER SO;TM;Pureza, Qualidade;Tradicional
CAFE CONTRI IMP. E EXP. LTDA.;AC;CONTRI;CAP;Pureza, Qualidade;Intensidade 8
CAFE CONTRI IMP. E EXP. LTDA.;AC;CONTRI ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE CONTRI IMP. E EXP. LTDA.;AC;CONTRI GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE CONTRI IMP. E EXP. LTDA.;AC;CONTRI PREMIUM;TM;Pureza, Qualidade;Superior
CAFE CONTRI IMP. E EXP. LTDA.;AC;CONTRI TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CONTRI IMP. E EXP. LTDA.;AC;SARAH;TM;Pureza, Qualidade;Extraforte
CAFE CRUZEIRO DO SUL LTDA.;SP;CRUZEIRO DO SUL ESPRESSO;GR;Pureza, Qualidade;Superior
CAFE CRUZEIRO DO SUL LTDA.;SP;CRUZEIRO DO SUL GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE CRUZEIRO DO SUL LTDA.;SP;CRUZEIRO DO SUL PREMIUM FORTE;TM;Pureza, Qualidade;Tradicional
CAFE CRUZEIRO DO SUL LTDA.;SP;CRUZEIRO DO SUL TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE 100% ARABICA;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE 100% ARABICA DRIP COFFEE;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE CANEFORA;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE CANEFORA DRIP COFFEE;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE NOBRE;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE NOBRE DRIP COFFEE;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE TITAN;TM;Pureza, Qualidade;Tradicional
CAFE DO MONTE LTDA;ES;DO MONTE TITAN DRIP COFFEE;TM;Pureza, Qualidade;Tradicional
CAFE DO SITIO IND. E COM. LTDA.;DF;ASSUM PRETO;TM;Pureza, Qualidade;Tradicional
CAFE DO SITIO IND. E COM. LTDA.;DF;DO SITIO;GR;Pureza, Qualidade;Gourmet
CAFE DO SITIO IND. E COM. LTDA.;DF;DO SITIO SPECIALE ESPRESSO BLEND FRUTATTO;GR;Pureza, Qualidade;Gourmet
CAFE DO SITIO IND. E COM. LTDA.;DF;DO SITIO SPECIALE ESPRESSO BLEND IMPERIALE;GR;Pureza, Qualidade;Gourmet
CAFE DO SITIO IND. E COM. LTDA.;DF;DO SITIO SPECIALE ESPRESSO BLEND REGOLARE;GR;Pureza, Qualidade;Gourmet
CAFE DO SITIO IND. E COM. LTDA.;DF;DO SITIO SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE DO VOVO LTDA;GO;DO VOVO;TM;Pureza, Qualidade;Tradicional
CAFE DO VOVO LTDA;GO;RIO NEGRO;TM;Pureza, Qualidade;Extraforte
CAFE DO VOVO LTDA;GO;SANTA HELENA;TM;Pureza, Qualidade;Tradicional
CAFE DOM PEDRO LTDA.;MG;BRASIL SUPERMERCADOS;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;DOM PEDRO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;DOM PEDRO GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE DOM PEDRO LTDA.;MG;DOM PEDRO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE DOM PEDRO LTDA.;MG;DOM PEDRO MAIS FORTE;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;DOM PEDRO PREMIUM;TM;Pureza, Qualidade;Superior
CAFE DOM PEDRO LTDA.;MG;DOM PEDRO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE DOM PEDRO LTDA.;MG;GUARIM EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;GUARIM TRADICIONAL;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;NOVO AROMA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;SANTELLO GRAO;GR;Pureza, Qualidade;Gourmet
CAFE DOM PEDRO LTDA.;MG;SUPER MINAS EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE DOM PEDRO LTDA.;MG;SUPER MINAS TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE DUARTE LTDA.;MG;DUARTE;TM;Pureza, Qualidade;Tradicional
CAFE DUARTE LTDA.;MG;DUARTE EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE DUARTE LTDA.;MG;TERROIR DE MINAS;TM;Pureza, Qualidade;Tradicional
CAFE DUARTE LTDA.;MG;TERROIR DE MINAS GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR;TM;Pureza, Qualidade;Tradicional
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR ENERGIA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR GOURMET EM GRAO;GR;Pureza, Qualidade;Gourmet
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR ORGANICO;TM;Pureza, Qualidade;Superior
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR ORGANICO GRAO;GR;Pureza, Qualidade;Gourmet
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR SUPERIOR TORRADO EM GRAO;GR;Pureza, Qualidade;Superior
CAFE EXCELSIOR LTDA.;SP;EXCELSIOR TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE EXPEDICIONARIO IND. E COM. S_A.;ES;EXPEDICIONARIO ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE EXPEDICIONARIO IND. E COM. S_A.;ES;EXPEDICIONARIO ESPRESSO;TM;Pureza, Qualidade;Superior
CAFE EXPEDICIONARIO IND. E COM. S_A.;ES;EXPEDICIONARIO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE EXPEDICIONARIO IND. E COM. S_A.;ES;EXPEDICIONARIO PREMIUM;TM;Pureza, Qualidade;Superior
CAFE EXPEDICIONARIO IND. E COM. S_A.;ES;EXPEDICIONARIO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE EXPORT IND. E COM. LTDA.;DF;BAGDA;TM;Pureza, Qualidade;Tradicional
CAFE EXPORT IND. E COM. LTDA.;DF;EX POP;TM;Pureza, Qualidade;Tradicional
CAFE EXPORT IND. E COM. LTDA.;DF;EXPORT;TM;Pureza, Qualidade;Superior
CAFE EXPORT IND. E COM. LTDA.;DF;EXPORT;TM;Pureza, Qualidade;Tradicional
CAFE EXPORT IND. E COM. LTDA.;DF;EXPORT EXPRESSO;GR;Pureza, Qualidade;Superior
CAFE EXPORT IND. E COM. LTDA.;DF;EXPORT EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE EXPORT IND. E COM. LTDA.;DF;EXPORT PREMIUM;TM;Pureza, Qualidade;Superior
CAFE EXPRESSO LTDA.;SP;EXPRESSO 25;TM;Pureza, Qualidade;Tradicional
CAFE FARAO LTDA;RJ;FARAO;TM;Pureza, Qualidade;Tradicional
CAFE FARAO LTDA;RJ;FARAO EM GRAO;GR;Pureza, Qualidade;Tradicional
CAFE FARAO LTDA;RJ;FARAO EXPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE FAVORITO S/A.;RJ;FAVORITO;TM;Pureza, Qualidade;Tradicional
CAFE FAVORITO S/A.;RJ;FAVORITO;GR;Pureza, Qualidade;Tradicional
CAFE FAVORITO S/A.;RJ;FAVORITO EM GRAO PARA EXPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE FAZENDA SERTAOZINHO LTDA.;MG;ORFEU BOURBON AMARELO;GR;Pureza, Qualidade, Sustentabilidade;Especial
CAFE FAZENDA SERTAOZINHO LTDA.;MG;ORFEU CLASSICO GRAO;GR;Pureza, Qualidade, Sustentabilidade;Especial
CAFE FAZENDA SERTAOZINHO LTDA.;MG;ORFEU INTENSO GRAO;GR;Pureza, Qualidade, Sustentabilidade;Especial
CAFE FAZENDA SERTAOZINHO LTDA.;MG;ORFEU ORGANICO GRAO;GR;Pureza, Qualidade, Sustentabilidade;Especial
CAFE GAKLIK IND. E COM LTDA;MT;GAKLIK CLASSICO;TM;Pureza, Qualidade;Extraforte
CAFE GOSTO MINEIRO LTDA;MG;4K;TM;Pureza, Qualidade;Tradicional
CAFE GOSTO MINEIRO LTDA;MG;GOSTO MINEIRO DA FAZENDA;TM;Pureza, Qualidade;Tradicional
CAFE GOSTO MINEIRO LTDA;MG;GOSTO MINEIRO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE GUIDALLI IND. E COM. LTDA.;SC;GUIDALLI TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE INDAIA LTDA.;MG;INDAIA - TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE INDAIA LTDA.;MG;INDAIA EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE INDAIA LTDA.;MG;NOVA SERRANA;TM;Pureza, Qualidade;Tradicional
CAFE INDAIA LTDA.;MG;PADRE LIBERIO;TM;Pureza, Qualidade;Tradicional
CAFE INDAIA LTDA.;MG;SAO GOTARDO GOURMET ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE INDAIA LTDA.;MG;SAO GOTARDO TRADICIONAL POUCH;TM;Pureza, Qualidade;Tradicional
CAFE ITAU LTDA.;MG;ITAU CLASSICO;GR;Pureza, Qualidade;Gourmet
CAFE ITAU LTDA.;MG;ITAU EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE ITAU LTDA.;MG;ITAU ORIGINALISSIMO;TM;Pureza, Qualidade;Tradicional
CAFE ITAU LTDA.;MG;ITAU RISTRETTO;GR;Pureza, Qualidade;Gourmet
CAFE ITAU LTDA.;MG;ITAU SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE ITAU LTDA.;MG;ITAU TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ITAU LTDA.;MG;MONTREAL FORTE;TM;Pureza, Qualidade;Tradicional
CAFE ITAU LTDA.;MG;MONTREAL ORIGINAL;TM;Pureza, Qualidade;Tradicional
CAFE JAGUARI LTDA.;SP;JAGUARI ENCANTO;CAP;Pureza, Qualidade;Intensidade 6
CAFE JAGUARI LTDA.;SP;JAGUARI ESPECIAL;TM;Pureza, Qualidade;Tradicional
CAFE JAGUARI LTDA.;SP;JAGUARI ESPECIAL;TM;Pureza, Qualidade;Tradicional
CAFE JAGUARI LTDA.;SP;JAGUARI ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE JAGUARI LTDA.;SP;JAGUARI EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JAGUARI LTDA.;SP;JAGUARI GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE JAGUARI LTDA.;SP;JAGUARI INTENSO;CAP;Pureza, Qualidade;Intensidade 10
CAFE JAGUARI LTDA.;SP;JAGUARI MOMENTO;CAP;Pureza, Qualidade;Intensidade 8
CAFE JAGUARI LTDA.;SP;JAGUARI TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JAGUARI LTDA.;SP;MONTANA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JAGUARI LTDA.;SP;MONTANA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JAGUARI LTDA.;SP;NIDA EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE JAGUARI LTDA.;SP;NIDA TRADICIONAL FORTE;TM;Pureza, Qualidade;Tradicional
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;BOA COMPRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;FARNEZZE MAIS FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;JEQUITINHONHA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;JEQUITINHONHA SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;JEQUITINHONHA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;JOSE SILVA EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;JOSE SILVA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;SERRA LIMA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;SICAFE EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;SICAFE TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JEQUITINHONHA IND. E COM. LTDA;MG;VIA REAL - TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO +FORTE;TM;Pureza, Qualidade;Tradicional
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO ESPECIAL;GR;Pureza, Qualidade;Gourmet
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE JOAO ARCANJO LTDA;MG;JOAO ARCANJO TRADICIONAL;GR;Pureza, Qualidade;Tradicional
CAFE KATUTA IMP. E EXP. LTDA;RO;JAMARI EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE KATUTA IMP. E EXP. LTDA;RO;KATUTA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE LONTRINHA LTDA;PR;DA HORA;TM;Pureza, Qualidade;Tradicional
CAFE LONTRINHA LTDA;PR;LONTRINHA;CAP;Pureza, Qualidade;Intensidade 9
CAFE LONTRINHA LTDA;PR;LONTRINHA ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE LONTRINHA LTDA;PR;LONTRINHA EXPORTACAO;TM;Pureza, Qualidade;Superior
CAFE LONTRINHA LTDA;PR;LONTRINHA RESERVA ESPECIAL;GR;Pureza, Qualidade;Gourmet
CAFE LONTRINHA LTDA;PR;LONTRINHA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE LOURENCO IND. E COM. LTDA.;SP;LOURENCO;TM;Pureza, Qualidade;Tradicional
CAFE LOURENCO IND. E COM. LTDA.;SP;LOURENCO ESPRESSO;GR;Pureza, Qualidade;Superior
CAFE MANSANO LTDA - ME;MG;MANSANO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;MARCUS MAGALHAES RAIZES;TM;Pureza, Qualidade;Gourmet
CAFE MERIDIANO IND. E COM. LTDA.;ES;MARCUS MAGALHAES RAIZES;GR;Pureza, Qualidade;Gourmet
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO CLASSIC;TM;Pureza, Qualidade;Superior
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO CLASSIC GRAO;GR;Pureza, Qualidade;Superior
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO ESPIRITO;TM;Pureza, Qualidade;Superior
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO ESPRESSO;TM;Pureza, Qualidade;Gourmet
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO ESPRESSO EM GRAO;GR;Pureza, Qualidade;Gourmet
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO EXTRA;TM;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO EXTRA FORTE;TM;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO EXTRAFORTE  - MOA E FECHE;GR;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO TRADICIONAL - MOA E FECHE;GR;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;MERIDIANO TRADICIONAL BA;TM;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;PIOCA;TM;Pureza, Qualidade;Extraforte
CAFE MERIDIANO IND. E COM. LTDA.;ES;TERRA DE SABORES CLASSICO GRAO;GR;Pureza, Qualidade;Superior
CAFE MERIDIANO IND. E COM. LTDA.;ES;TERRA DE SABORES EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE MERIDIANO IND. E COM. LTDA.;ES;TERRA DE SABORES INTENSO GRAO;GR;Pureza, Qualidade;Tradicional
CAFE MERIDIANO IND. E COM. LTDA.;ES;TERRA DE SABORES SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE MERIDIANO IND. E COM. LTDA.;ES;TERRA DE SABORES TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE MONLEVADE COM. IND. LTDA.;MG;BURIAN EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE MONLEVADE COM. IND. LTDA.;MG;BURIAN TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE MONLEVADE COM. IND. LTDA.;MG;MONLEVADE EXPRESSO;GR;Pureza, Qualidade;Tradicional
CAFE MONLEVADE COM. IND. LTDA.;MG;MONLEVADE EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE MONLEVADE COM. IND. LTDA.;MG;MONLEVADE GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE MONLEVADE COM. IND. LTDA.;MG;MONLEVADE MAIS FORTE;TM;Pureza, Qualidade;Extraforte
CAFE MONLEVADE COM. IND. LTDA.;MG;MONLEVADE TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE NUMERO UM S_A.;ES;GUARDIAO EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE NUMERO UM S_A.;ES;GUARDIAO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE NUMERO UM S_A.;ES;NUMERO UM EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE NUMERO UM S_A.;ES;NUMERO UM SENTIDOS CAPARAO;TM;Pureza, Qualidade;Gourmet
CAFE NUMERO UM S_A.;ES;NUMERO UM SENTIDOS ESPRESSO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE NUMERO UM S_A.;ES;NUMERO UM SENTIDOS GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE NUMERO UM S_A.;ES;NUMERO UM SENTIDOS MONTANHAS CAPIXABAS;TM;Pureza, Qualidade;Superior
CAFE NUMERO UM S_A.;ES;NUMERO UM TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE PIRANGUINHO LTDA.;MG;PIRANGUINHO;TM;Pureza, Qualidade;Tradicional
CAFE PIRANGUINHO LTDA.;MG;SABOR MINEIRO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE RAPHAELLI LTDA;MG;RAPHAELLI TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE RAPHAELLI LTDA;MG;VO OLGA  TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ROBINSON LTDA.;MG;DONA TEREZA;TM;Pureza, Qualidade;Tradicional
CAFE ROBINSON LTDA.;MG;ROBINSON;TM;Pureza, Qualidade;Tradicional
CAFE ROSSETTO LTDA.;SP;BOM DE + TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ROSSETTO LTDA.;SP;DO TETRA  EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE ROSSETTO LTDA.;SP;DO TETRA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ROSSETTO LTDA.;SP;ROSSETTO;TM;Pureza, Qualidade;Tradicional
CAFE ROSSETTO LTDA.;SP;ROSSETTO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE SENDESKI LTDA;PR;SENDESKI GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE SENDESKI LTDA;PR;SENDESKI GOURMET ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE SENDESKI LTDA;PR;SENDESKI GOURMET INTENSO;TM;Pureza, Qualidade;Gourmet
CAFE SEVILHA INDUSTRIA E COMERCIO LTDA;MA;5 ESTRELAS EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE SEVILHA INDUSTRIA E COMERCIO LTDA;MA;SEVILHA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE SILVA LTDA.;MG;BRASIL VENDING GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE SILVA LTDA.;MG;BRASIL VENDING SUPERIOR;GR;Pureza, Qualidade;Superior
CAFE SILVA LTDA.;MG;CERGRAN TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE SILVA LTDA.;MG;PRIMO MINAS EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE SILVA LTDA.;MG;SABOR DO BRASIL;TM;Pureza, Qualidade;Tradicional
CAFE SILVA LTDA.;MG;SABOR DO BRASIL EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE SILVA LTDA.;MG;SILVA;TM;Pureza, Qualidade;Superior
CAFE SILVA LTDA.;MG;SILVA;TM;Pureza, Qualidade;Tradicional
CAFE SILVA LTDA.;MG;SILVA;TM;Pureza, Qualidade;Gourmet
CAFE SILVA LTDA.;MG;SILVA;GR;Pureza, Qualidade;Gourmet
CAFE SORRISO LTDA.;MG;MIRAND OURO ESPRESSO GRAO;GR;Pureza, Qualidade;Gourmet
CAFE SORRISO LTDA.;MG;MIRAND OURO RESERVA ESPECIAL;TM;Pureza, Qualidade;Gourmet
CAFE SORRISO LTDA.;MG;PADRE VICTOR ESPRESSO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE SORRISO LTDA.;MG;PADRE VICTOR EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE SORRISO LTDA.;MG;PADRE VICTOR OCASIOES ESPECIAIS;TM;Pureza, Qualidade;Superior
CAFE SORRISO LTDA.;MG;PADRE VICTOR SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE SORRISO LTDA.;MG;PADRE VICTOR TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE SORRISO LTDA.;MG;SORRISO;TM;Pureza, Qualidade;Extraforte
CAFE TAIOBEIRAS LTDA.;MG;TAIOBEIRAS EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE TAIOBEIRAS LTDA.;MG;TAIOBEIRAS TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE TESOURO LTDA.;SP;TESOURO;GR;Pureza, Qualidade;Tradicional
CAFE TESOURO LTDA.;SP;TESOURO EXPRESSO;GR;Pureza, Qualidade;Superior
CAFE TESOURO LTDA.;SP;TESOURO EXPRESSO;TM;Pureza, Qualidade;Superior
CAFE TESOURO LTDA.;SP;TESOURO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE TIPUANA IND. E COM. LTDA.;MG;JARAGUA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE TIPUANA IND. E COM. LTDA.;MG;TIPUANA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE TIPUANA IND. E COM. LTDA.;MG;TIPUANA LOTE ESPECIAL SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE TIPUANA IND. E COM. LTDA.;MG;TIPUANA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE TRES CORACOES S/A;MG;3 CORACOES CERRADO MINEIRO GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE TRES CORACOES S/A;MG;3 CORACOES DESCAFEINADO;TM;Pureza, Qualidade;Superior
CAFE TRES CORACOES S/A;MG;3 CORACOES DRIP COFFEE SILVIO LEITE;TM;Pureza, Qualidade, Sustentabilidade;Especial
CAFE TRES CORACOES S/A;MG;3 CORACOES ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE TRES CORACOES S/A;MG;3 CORACOES ESTRADA REAL PREMIUM;TM;Pureza, Qualidade;Superior
CAFE TRES CORACOES S/A;MG;3 CORACOES EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE TRES CORACOES S/A;MG;3 CORACOES GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE TRES CORACOES S/A;MG;3 CORACOES GOURMET DARK ROAST;TM;Pureza, Qualidade;Gourmet
CAFE TRES CORACOES S/A;MG;3 CORACOES MOGIANA PAULISTA GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE TRES CORACOES S/A;MG;3 CORACOES RITUAIS CERRADO MINEIRO;TM;Pureza, Qualidade, Sustentabilidade;Gourmet
CAFE TRES CORACOES S/A;MG;3 CORACOES RITUAIS CERRADO MINEIRO;GR;Pureza, Qualidade, Sustentabilidade;Gourmet
